document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized,question_span_grounded,question_linenum,answer_span_grounded,answer_linenum,mention1,mention1_globalpos,mention1_chapterpos,mention1_chapterindex,mention2,mention2_globalpos,mention2_chapterpos,mention2_chapterindex
0d0bc01441afbec48663e3b38827e1529a287765,test,Who is Helen Chester?,The niece of Judge Arthur Chester.,Judges Arthur Chester's neice,Who is Helen Chester ?,The niece of Judge Arthur Chester .,Judges Arthur Chester s neice,Helen Chester,1032,niece,1602,Helen Chester,43956:43969,12053:12066,4,niece,71394:71399,1013:1018,6
0d0bc01441afbec48663e3b38827e1529a287765,test,Who is Alexander McNamara?,A politician seeking control in the Alaskan Territory.,A politician,Who is Alexander McNamara ?,A politician seeking control in the Alaskan Territory .,A politician,McNamara,216,politician,1722,McNamara,5925:5933,4239:4247,2,politician,76608:76618,6227:6237,6
0d6f958d03124c4176549fce64ed4e7849e351f9,train,Who is Augusta?,Augusta is Emmeline's friend and Delemare's sister,Delamere's sister.,Who is Augusta ?,Augusta is Emmeline s friend and Delemare s sister,Delamere s sister .,Augusta,2697,sister,1893,Augusta,133366:133373,16332:16339,66,sister,91108:91114,4086:4092,64
0d6f958d03124c4176549fce64ed4e7849e351f9,train,Who is Godolphin's sister? ,Adelina,Adelina,Who is Godolphin s sister ?,Adelina,Adelina,Godolphin,9896,Adelina,23154,Godolphin,510202:510211,4269:4278,86,Adelina,1222552:1222559,4319:4326,116
0e386fb9ead81ac7dbda4798564ab2f7968234c8,train,Who is George to Rabina?,Her husband.,One is son and the other is husband.,Who is George to Rabina ?,Her husband .,One is son and the other is husband .,George,285,husband,6551,George,14751:14757,14751:14757,0,husband,377565:377572,38098:38105,2
0ecd1d809dabb7dab891d9c8a9e19a5f76397d2d,valid,Who is Esther?,A 9 year old girl whom Kate and John adopt.,"Leena Klammer , a mentally ill 33 year old woman with hypopituitarism. ",Who is Esther ?,A 9 year old girl whom Kate and John adopt .,"Leena Klammer , a mentally ill 33 year old woman with hypopituitarism .",KATE,225,girl,6720,KATE,7587:7591,7587:7591,0,girl,214027:214031,214:218,96
0f849890e27fd05b9a8683d111f489515db72ea4,train,Who is Agave and Cadmus' son?,Pentheus,Pentheus,Who is Agave and Cadmus ' son ?,Pentheus,Pentheus,son,225,Pentheus,506,son,7164:7167,7164:7167,0,Pentheus,16425:16433,16425:16433,0
0ffdd0e4abb67f0012a68d719a2d509ee8ec643d,train,Who is Nate?,McCauley's fence.,McCauley's fence,Who is Nate ?,McCauley s fence .,McCauley s fence,NATE,1060,fence,1066,NATE,30165:30169,2687:2691,5,fence,30451:30456,2973:2978,5
0ffdd0e4abb67f0012a68d719a2d509ee8ec643d,train,Who is Lauren?,Hanna's stepdaughter.,Hanna's step daughter,Who is Lauren ?,Hanna s stepdaughter .,Hanna s step daughter,LAUREN,430,stepdaughter,5229,LAUREN,13554:13560,1937:1943,2,stepdaughter,144081:144093,20114:20126,10
105672e2bb1bcc9dd50e90822ca49a66876ac198,train,Who is Trampas to the Virginian?,He is a gambler that the Virginian faced down. ,An enemy,Who is Trampas to the Virginian ?,He is a gambler that the Virginian faced down .,An enemy,Trampas,3223,gambler,7813,Trampas,156289:156296,4468:4475,10,gambler,365193:365200,13646:13653,22
105672e2bb1bcc9dd50e90822ca49a66876ac198,train,Who is Trampas?,The Virginian's enemy.,a gambler who is enemies with the Virginian,Who is Trampas ?,The Virginian s enemy .,a gambler who is enemies with the Virginian,Trampas,967,gambler,7813,Trampas,43417:43424,26889:26896,2,gambler,365193:365200,13646:13653,22
10910853a653d0e6ef540a1a3cc63ef2746a798c,train,Who is Danny Parker?,The alias of the protagonist,an addict and police informant,Who is Danny Parker ?,The alias of the protagonist,an addict and police informant,Danny,218,addict,4324,Danny,7192:7197,7192:7197,0,addict,134791:134797,71737:71743,2
10c992498cf8bea350d6209b4b8f1d0437440694,train,Who is Edward de Vere's wife? ,Anne Cecil,Anne Cecil,Who is Edward de Vere s wife ?,Anne Cecil,Anne Cecil,Edward,585,wife,7925,Edward,18716:18722,18716:18722,0,wife,243944:243948,36350:36354,4
11c498b404bec5dee6cbf41e54a8b682851fb934,valid,Who is  Slasher?,Slasher is a feral dog that joins Balthus and Conan.,a feral dog,Who is Slasher ?,Slasher is a feral dog that joins Balthus and Conan .,a feral dog,Slasher,1810,dog,1199,Slasher,92985:92992,42389:42396,1,dog,61415:61418,10819:10822,1
1225b1acc92c2554e91c09639f86c1d75f8e9161,train,Who is Isabel's brother?,Pierre,Pierre,Who is Isabel s brother ?,Pierre,Pierre,brother,632,Pierre,7673,brother,33677:33684,29930:29937,1,Pierre,430910:430916,322:328,10
1343fe0f3a4293a8d5a214cd30e857f9abe77ebb,train,Who is Ku-Klip?,The tinsmith.,He is the tinsmith.,Who is Ku-Klip ?,The tinsmith .,He is the tinsmith .,Ku-Klip,3573,tinsmith,3573,Ku-Klip,158483:158490,4863:4870,15,tinsmith,158503:158511,4883:4891,15
141a5885bb6d8df56dadbd617b5dec7db102701d,train,Who was Pino?,Sal's  elder son,Sal's son ,Who was Pino ?,Sal s elder son,Sal s son,PINO,390,son,591,PINO,11248:11252,11248:11252,0,son,15492:15495,15492:15495,0
145200abf14baeffa646797dfbfa58861cb4b079,test,Who is Alpha?,Alpha is a doberman and the leader of a pack of dogs.,a doberman,Who is Alpha ?,Alpha is a doberman and the leader of a pack of dogs .,a doberman,Alpha,3946,Doberman,3947,Alpha,105131:105136,1825:1830,49,Doberman,105157:105165,1851:1859,49
145200abf14baeffa646797dfbfa58861cb4b079,test,Who was Ellie to Carl?,his wife,Ellie is Carl's late wife.,Who was Ellie to Carl ?,his wife,Ellie is Carl s late wife .,ELLIE,534,wife,5021,ELLIE,16653:16658,972:977,5,wife,133338:133342,1095:1099,63
145200abf14baeffa646797dfbfa58861cb4b079,test,Who is 9 year old Carl Fredricksen's hero?,"Charles Muntz, a famous explorer",Charles Muntz.,Who is 9 year old Carl Fredricksen s hero ?,"Charles Muntz , a famous explorer",Charles Muntz .,hero,5903,Muntz,4982,hero,157758:157762,739:743,75,Muntz,132435:132440,192:197,63
145200abf14baeffa646797dfbfa58861cb4b079,test,Who is Kevin?,"a colorful, flightless bird that Russell finds",A flightless bird. ,Who is Kevin ?,"a colorful , flightless bird that Russell finds",A flightless bird .,Kevin,3456,BIRD,3348,Kevin,92506:92511,1340:1345,43,BIRD,89895:89899,614:618,42
14ed79ad4d7dbda55c43a696dc1366a71605ac58,train,Who is Mattie Fae?,Violet's sister.,Violet's sister,Who is Mattie Fae ?,Violet s sister .,Violet s sister,Mattie,926,sister,954,Mattie,32612:32618,32612:32618,0,sister,33499:33505,33499:33505,0
14fc0de61e9e8044764da1fb9f647d8ceb60e561,test,Who is La Fleur to Yorick?,He is a servant who will join Yorick on his travels.,A servant,Who is La Fleur to Yorick ?,He is a servant who will join Yorick on his travels .,A servant,Fleur,1042,servant,1557,Fleur,49772:49777,905:910,1,servant,74835:74842,25968:25975,1
1528f4c003dde308ae74bdec458466765944ca6a,test,Who was Margaret?,Paul's wife.,Paul's wife.,Who was Margaret ?,Paul s wife .,Paul s wife .,Margaret,801,wife,881,Margaret,30963:30971,30963:30971,0,wife,34135:34139,34135:34139,0
1528f4c003dde308ae74bdec458466765944ca6a,test,Who was Tiffany?,Ted Waters girlfriend.,Ted Waters' girlfriend,Who was Tiffany ?,Ted Waters girlfriend .,Ted Waters ' girlfriend,Tiffany,661,girlfriend,2398,Tiffany,25584:25591,25584:25591,0,girlfriend,92082:92092,92082:92092,0
1528f4c003dde308ae74bdec458466765944ca6a,test,Who was Raymond?,Paul's brother,Paul's brother,Who was Raymond ?,Paul s brother,Paul s brother,Raymond,450,brother,479,Raymond,16268:16275,16268:16275,0,brother,17530:17537,17530:17537,0
15329a294f5c4e40208bc75102fbd312f58599cb,test,Who is Lucas?,"A police officer monitoring Walter, wanting to catch him reoffending to bust him back to prison.",police officer,Who is Lucas ?,"A police officer monitoring Walter , wanting to catch him reoffending to bust him back to prison .",police officer,LUCAS,357,officer,355,LUCAS,13044:13049,2059:2064,2,officer,12908:12915,1923:1930,2
15e5cdd93340ecf4ab97248e15f3870eb26bf10b,train,Who is David in relationship to Kirk?,His son.,David is Kirk's son.,Who is David in relationship to Kirk ?,His son .,David is Kirk s son .,DAVID,786,son,6164,DAVID,32063:32068,32063:32068,0,son,260273:260276,158018:158021,2
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,WHO IS AMANDA TO BENHAM?,HIS WIFE,His wife.,WHO IS AMANDA TO BENHAM ?,HIS WIFE,His wife .,Amanda,4902,wife,10439,Amanda,244029:244035,74270:74276,2,wife,502903:502907,120659:120663,5
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,WHO IS PROTHERO TO BENHAM?,A CHILDHOOD SCHOOL FRIEND,His friend,WHO IS PROTHERO TO BENHAM ?,A CHILDHOOD SCHOOL FRIEND,His friend,Prothero,297,friend,3061,Prothero,13749:13757,13749:13757,0,friend,149309:149315,73233:73239,1
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,Who was Amanda?,Benham's  wife,a young woman he loved passionately,Who was Amanda ?,Benham s wife,a young woman he loved passionately,Benham,532,wife,1522,Benham,25394:25400,25394:25400,0,wife,76516:76520,440:444,1
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,Who was Prothero?,Benham's friend.,Benham's schoolboy friend,Who was Prothero ?,Benham s friend .,Benham s schoolboy friend,Prothero,302,friend,503,Prothero,14120:14128,14120:14128,0,friend,23887:23893,23887:23893,0
1773a177343713782c2437b460f5399aae80e18c,train,Who is Maggie to Adam?,Adam's daughter,His daughter,Who is Maggie to Adam ?,Adam s daughter,His daughter,Maggie,175,daughter,20279,Maggie,8252:8258,7316:7322,1,daughter,1154782:1154790,67394:67402,6
17f2e2685467b6eebf01d2a643e31f53ea215e91,test,Who is Florentina?,Pablo's beautiful cousin whom he's supposed to marry.,Pablo's cousin.,Who is Florentina ?,Pablo s beautiful cousin whom he s supposed to marry .,Pablo s cousin .,Florentina,3259,cousin,4134,Florentina,156368:156378,9329:9339,11,cousin,201807:201813,7690:7696,15
1853a60c054cce3f34f9969c558141580b925085,train,WHO IS LITTLE CHRIS TO BIG CHRIS?,HIS SON,son,WHO IS LITTLE CHRIS TO BIG CHRIS ?,HIS SON,son,Little Chris,716,son,4405,Little Chris,21689:21701,21689:21701,0,son,117557:117560,13715:13718,2
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was  Little Bilham?,Chad's friend,A friend of Chads.,Who was Little Bilham ?,Chad s friend,A friend of Chads .,little Bilham,77,friend,4691,little Bilham,1818:1831,1818:1831,0,friend,257993:257999,14092:14098,4
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was Sarah Pocock?,Chad sisiter,Chad's sister,Who was Sarah Pocock ?,Chad sisiter,Chad s sister,Sarah Pocock,9601,sister,16753,Sarah Pocock,506320:506332,62759:62771,7,sister,887766:887772,66129:66135,12
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was Marie de Vionnnet?,Jeanne's mother., lovely woman of impeccable manners,Who was Marie de Vionnnet ?,Jeanne s mother .,lovely woman of impeccable manners,Marie de Vionnet,6682,mother,6442,Marie de Vionnet,366309:366325,57988:58004,5,mother,351974:351980,43653:43659,5
194fd3c13f34b5a640280e7f43e59dbed66c215c,test,Who is Loki to Laufey?,Son,His son,Who is Loki to Laufey ?,Son,His son,Loki,721,son,6407,Loki,23234:23238,23234:23238,0,son,201657:201660,84873:84876,1
1b458192e39bd7fdf10e69d6b975844a211e72a9,train,Who was Jerry's brother?,Michael,michael,Who was Jerry s brother ?,Michael,michael,brother,193,Michael,7159,brother,9576:9583,4325:4332,1,Michael,395505:395512,14452:14459,24
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a,train,Who was Bella Swan boyfriend?,Edward Cullen,Edward,Who was Bella Swan boyfriend ?,Edward Cullen,Edward,boyfriend,1213,Edward,6782,boyfriend,44530:44539,2582:2591,18,Edward,252581:252587,896:902,124
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a,train,Who was Jasper?,Edward brother,Edward's brother,Who was Jasper ?,Edward brother,Edward s brother,JASPER,631,brother,4022,JASPER,21623:21629,937:943,7,brother,151005:151012,513:520,73
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a,train,Who was Alice?,Edward sister,Edward's sister,Who was Alice ?,Edward sister,Edward s sister,Alice,959,sister,957,Alice,34912:34917,945:950,14,sister,34872:34878,905:911,14
1d6b5926027e0ce1ae376bbd4798fa6a93c7a548,train,Who is Henry's wife?,Debbie,debbie,Who is Henry s wife ?,Debbie,debbie,wife,272,DEBBIE,272,wife,8557:8561,281:285,1,DEBBIE,8563:8569,287:293,1
1dcd41b8faacf141817133954ff78291593520b5,train,Who is Lady Lundies brother-in-law?,Sir Patrick Lundie,Sir Patrick Lundie,Who is Lady Lundies brother-in-law ?,Sir Patrick Lundie,Sir Patrick Lundie,brother-in-law,1998,Sir Patrick Lundie,1778,brother-in-law,90298:90312,15421:15435,2,Sir Patrick Lundie,80131:80149,5254:5272,2
1e44e31fb8bb26dc8aae3ca3cd7131acb59a447f,train,Who was Margaret Brandt?,Gerard's  husband.,Margaret Roger,Who was Margaret Brandt ?,Gerard s husband .,Margaret Roger,Margaret Brandt,2168,husband,30652,Margaret Brandt,102949:102964,9926:9941,7,husband,1430499:1430506,8534:8541,95
1f3c4d904224764b1305205dfa99eae47c63240b,train,Who is Ignosi king of?,King of the Kukuanas.,Kukuanas,Who is Ignosi king of ?,King of the Kukuanas .,Kukuanas,Ignosi,3356,king of the Kukuanas,7354,Ignosi,170055:170061,5135:5141,8,king of the Kukuanas,370662:370682,18825:18845,16
1f8e03c7b6a6864108933fba1906455f78e4cfa6,train,Who is Hellboy?,An infant demon with a right hand made of stone.,An infant demon. ,Who is Hellboy ?,An infant demon with a right hand made of stone .,An infant demon .,Hellboy,1468,Demon,3003,Hellboy,56995:57002,8536:8543,1,Demon,116869:116874,22146:22151,2
20f1cc76a6b149b417e0d9943c7f2caac3a04875,train,Who is John Cedar?,The late Martin Semple's attorney.,Martin Semple's attorney.,Who is John Cedar ?,The late Martin Semple s attorney .,Martin Semple s attorney .,Cedar,311,attorney,9697,Cedar,12472:12477,3123:3128,3,attorney,463575:463583,478:486,271
2114ee4681976de8a9d75d0e411ccc47bfa1caa3,train,WHO IS RONNIE TO KALE?,HIS BEST FRIEND.,Best friend,WHO IS RONNIE TO KALE ?,HIS BEST FRIEND .,Best friend,Ronnie,1623,friend,6886,Ronnie,59461:59467,2010:2016,25,friend,245160:245166,2075:2081,116
2132babdf6d70933760a9d8e9c6ac5c3305ed253,valid,Who is Carl Hughes?,Chris Hughes' adoptive father. ,He's Chris' dad.,Who is Carl Hughes ?,Chris Hughes ' adoptive father .,He s Chris ' dad .,Charlie,446,son,448,Charlie,17229:17236,17229:17236,0,son,17363:17366,17363:17366,0
214cb5277750c1ccddec0b10fa545c3c78c45f64,test,Who is Maleficent's daughter?,Mal,Mal,Who is Maleficent s daughter ?,Mal,Mal,daughter,830,Scottie,841,daughter,30203:30211,1960:1968,10,Scottie,30638:30645,341:348,11
216a7a5535571aae2842944a3529fae1f664cb0f,train,Who is Marie's fiance?,Victor de Gisons,Victor de Gisons,Who is Marie s fiance ?,Victor de Gisons,Victor de Gisons,Marie,6152,Victor de Gisons,6769,Marie,309691:309696,27094:27099,10,Victor de Gisons,337379:337395,11700:11716,11
229bcf6a72dbf68b2b074ab4266fa677da43f68d,train,Who is Eyolf?,Eyolf was the son of Alfred ans Rita,son of Alfred & Rita,Who is Eyolf ?,Eyolf was the son of Alfred ans Rita,son of Alfred & Rita,Eyolf,60,son,65,Eyolf,1911:1916,1911:1916,0,son,2224:2227,2224:2227,0
229bcf6a72dbf68b2b074ab4266fa677da43f68d,train,Who is  Astar?,Alfred's sister,Alfred's sister,Who is Astar ?,Alfred s sister,Alfred s sister,ASTA,322,sister,1891,ASTA,16804:16808,812:816,1,sister,69011:69017,7814:7820,2
22d1af3e29dc599ec0634fe860359027adea6944,test,Who is Grayes' brother?,Edward,the local rector,Who is Grayes ' brother ?,Edward,the local rector,brother,752,Edward,16885,brother,38040:38047,1147:1154,30,Edward,797711:797717,12950:12956,146
22d80f4823a64ed818417fcf2d172222f0f18bbf,train,Who is Darryl? ,Darryl is Marcus' best friend,Marcus's best friend,Who is Darryl ?,Darryl is Marcus ' best friend,Marcus s best friend,Darryl,676,friend,13224,Darryl,31148:31154,2868:2874,1,friend,598593:598599,11219:11225,21
23fa36d9def95414a50968d216460d52f3dd3653,train,Who is Ventidius?,A Roman General,A Roman general,Who is Ventidius ?,A Roman General,A Roman general,VENTIDIUS,893,general,2222,VENTIDIUS,44783:44792,44783:44792,0,general,89154:89161,1813:1820,2
254ce2e2522625e70a10c88ef265769083049b46,train,Who was Botton Bright? ,A cute and weatlhly little boy.,a little boy,Who was Botton Bright ?,A cute and weatlhly little boy .,a little boy,Bright,114,boy,563,Bright,2703:2709,1519:1525,1,boy,18215:18218,17031:17034,1
254ce2e2522625e70a10c88ef265769083049b46,train,Who was Polychrome?,Polychrome was the daughter of Rainbow,the daughter of a rainbow,Who was Polychrome ?,Polychrome was the daughter of Rainbow,the daughter of a rainbow,Polychrome,113,Daughter,113,Polychrome,2642:2652,1458:1468,1,Daughter,2668:2676,1484:1492,1
25643d5e536303284b5c4148ab4243671580adeb,train,Who is Remmo Gaggi?,The Chicago mafia boss.,A Mafia boss.,Who is Remmo Gaggi ?,The Chicago mafia boss .,A Mafia boss .,REMO GAGGI,5886,boss,5887,REMO GAGGI,172688:172698,2103:2113,6,boss,172783:172787,2198:2202,6
266f5b2295980ad31b5090a6c51b69055c87b3a7,train,Who is Elle's boyfriend?,Warner Huntington III,Warner,Who is Elle s boyfriend ?,Warner Huntington III,Warner,boyfriend,3112,Warner Huntington III,619,boyfriend,85452:85461,646:655,34,Warner Huntington III,18190:18211,1318:1339,5
