document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
0c6bb0eb4a8f40ba3bdd6b1e6e86163e759d04e9,test,Who is El Cid? ,Don Rodrigue,"Rodrigue is called El Cid, because of his battlefield victories.  ",Who is El Cid ?,Don Rodrigue,"Rodrigue is called El Cid , because of his battlefield victories ."
0cb3433c5ac030dba47414e2655c3c49e4f37527,train,Who is Anna's boyfriend? ,Gerald,Gerald and Jack,Who is Anna s boyfriend ?,Gerald,Gerald and Jack
0cd690f600881ef37a4e36ca79e378c733636c30,test,Who is Zuleika's grandfather?,The Warden of Judas College,The Warden of Judas College.,Who is Zuleika s grandfather ?,The Warden of Judas College,The Warden of Judas College .
0d0bc01441afbec48663e3b38827e1529a287765,test,Who is Helen Chester?,The niece of Judge Arthur Chester.,Judges Arthur Chester's neice,Who is Helen Chester ?,The niece of Judge Arthur Chester .,Judges Arthur Chester s neice
0d0bc01441afbec48663e3b38827e1529a287765,test,Who is Alexander McNamara?,A politician seeking control in the Alaskan Territory.,A politician,Who is Alexander McNamara ?,A politician seeking control in the Alaskan Territory .,A politician
0d0bc01441afbec48663e3b38827e1529a287765,test,Who was Helen Chester?,Helen Chester was Judge Arthur Cheaster niece.,Niece of judge Arthur chester,Who was Helen Chester ?,Helen Chester was Judge Arthur Cheaster niece .,Niece of judge Arthur chester
0d0bc01441afbec48663e3b38827e1529a287765,test,Who was Alexander  McNamara?,A politician,a strongman politician,Who was Alexander McNamara ?,A politician,a strongman politician
0d6f958d03124c4176549fce64ed4e7849e351f9,train,Who is Augusta?,Augusta is Emmeline's friend and Delemare's sister,Delamere's sister.,Who is Augusta ?,Augusta is Emmeline s friend and Delemare s sister,Delamere s sister .
0d6f958d03124c4176549fce64ed4e7849e351f9,train,Who is Godolphin's sister? ,Adelina,Adelina,Who is Godolphin s sister ?,Adelina,Adelina
0e386fb9ead81ac7dbda4798564ab2f7968234c8,train,Who is George to Rabina?,Her husband.,One is son and the other is husband.,Who is George to Rabina ?,Her husband .,One is son and the other is husband .
0e453816e78ebb5abeaf4ea5dc283e1455fd57f9,train,Who is Olga Larina?,Olga Larina is Vladimir Lensky's fiance.,Lensky's fiance,Who is Olga Larina ?,Olga Larina is Vladimir Lensky s fiance .,Lensky s fiance
0e453816e78ebb5abeaf4ea5dc283e1455fd57f9,train,Who is Lensky's fiance?,Olga.,Olga,Who is Lensky s fiance ?,Olga .,Olga
0ecd1d809dabb7dab891d9c8a9e19a5f76397d2d,valid,Who is Esther?,A 9 year old girl whom Kate and John adopt.,"Leena Klammer , a mentally ill 33 year old woman with hypopituitarism. ",Who is Esther ?,A 9 year old girl whom Kate and John adopt .,"Leena Klammer , a mentally ill 33 year old woman with hypopituitarism ."
0f849890e27fd05b9a8683d111f489515db72ea4,train,Who is Agave and Cadmus' son?,Pentheus,Pentheus,Who is Agave and Cadmus ' son ?,Pentheus,Pentheus
0ffdd0e4abb67f0012a68d719a2d509ee8ec643d,train,Who is Nate?,McCauley's fence.,McCauley's fence,Who is Nate ?,McCauley s fence .,McCauley s fence
0ffdd0e4abb67f0012a68d719a2d509ee8ec643d,train,Who is Lauren?,Hanna's stepdaughter.,Hanna's step daughter,Who is Lauren ?,Hanna s stepdaughter .,Hanna s step daughter
105672e2bb1bcc9dd50e90822ca49a66876ac198,train,Who is Trampas to the Virginian?,He is a gambler that the Virginian faced down. ,An enemy,Who is Trampas to the Virginian ?,He is a gambler that the Virginian faced down .,An enemy
105672e2bb1bcc9dd50e90822ca49a66876ac198,train,Who is Trampas?,The Virginian's enemy.,a gambler who is enemies with the Virginian,Who is Trampas ?,The Virginian s enemy .,a gambler who is enemies with the Virginian
10910853a653d0e6ef540a1a3cc63ef2746a798c,train,Who is Danny Parker?,The alias of the protagonist,an addict and police informant,Who is Danny Parker ?,The alias of the protagonist,an addict and police informant
10910853a653d0e6ef540a1a3cc63ef2746a798c,train,Who is Colette?,Danny's neighbor.,a neighbor,Who is Colette ?,Danny s neighbor .,a neighbor
10c992498cf8bea350d6209b4b8f1d0437440694,train,Who is Edward de Vere's wife? ,Anne Cecil,Anne Cecil,Who is Edward de Vere s wife ?,Anne Cecil,Anne Cecil
10d52d13b492d0e2319b8b5d3349ce4f9eaf26d4,train,Who is Ghostface?,Roman,Cotton Weary,Who is Ghostface ?,Roman,Cotton Weary
11545d73892f9fedd42044f9fa098de4bf33ec18,train,Who is Prester John?,A legendary Christian ruler of whom Laputa claims he is the heir,A former leader of the people.,Who is Prester John ?,A legendary Christian ruler of whom Laputa claims he is the heir,A former leader of the people .
11c498b404bec5dee6cbf41e54a8b682851fb934,valid,Who is  Slasher?,Slasher is a feral dog that joins Balthus and Conan.,a feral dog,Who is Slasher ?,Slasher is a feral dog that joins Balthus and Conan .,a feral dog
11c498b404bec5dee6cbf41e54a8b682851fb934,valid,Who is Slasher?,feral dog,a dog,Who is Slasher ?,feral dog,a dog
11c498b404bec5dee6cbf41e54a8b682851fb934,valid,Who is Slasher?,A feral dog.,a feral dog who once belonged to a murdered settler,Who is Slasher ?,A feral dog .,a feral dog who once belonged to a murdered settler
1225b1acc92c2554e91c09639f86c1d75f8e9161,train,Who is Isabel's brother?,Pierre,Pierre,Who is Isabel s brother ?,Pierre,Pierre
127e1efe32b11e606a0c8f49a2399abb4a52f9d9,valid,Who is pregnant?,Bess,Bess,Who is pregnant ?,Bess,Bess
1284e77a2d72ec3a45540ada5416917eddd9f954,train,Who is Catherine to Joseph?,His mother.,mother,Who is Catherine to Joseph ?,His mother .,mother
12d6955c88a3d48c00cde7853e47a4dcd5020b60,train,Who is Silas Pickman? ,The Apollinean Female Institute owner. ,Owner of Apollinean female Institute,Who is Silas Pickman ?,The Apollinean Female Institute owner .,Owner of Apollinean female Institute
12ec522e344ec19702bc8bc74d85b4e5adf2d229,valid,Who is Eliza's favorite?,Mary's brother,Her son,Who is Eliza s favorite ?,Mary s brother,Her son
1343fe0f3a4293a8d5a214cd30e857f9abe77ebb,train,Who is Nimmie Amee?,the ward of the Wicked Witch of the East who the Tinman loved,The Wicked Witch of the East's ward,Who is Nimmie Amee ?,the ward of the Wicked Witch of the East who the Tinman loved,The Wicked Witch of the East s ward
1343fe0f3a4293a8d5a214cd30e857f9abe77ebb,train,Who is Ku-Klip?,The tinsmith.,He is the tinsmith.,Who is Ku-Klip ?,The tinsmith .,He is the tinsmith .
1343fe0f3a4293a8d5a214cd30e857f9abe77ebb,train,Who is Nimmie Amee?,The ward of the Wicked Witch of the East who is loved by the Woodman.,The Wicked Witch of the East's ward.,Who is Nimmie Amee ?,The ward of the Wicked Witch of the East who is loved by the Woodman .,The Wicked Witch of the East s ward .
141a5885bb6d8df56dadbd617b5dec7db102701d,train,Who was Pino?,Sal's  elder son,Sal's son ,Who was Pino ?,Sal s elder son,Sal s son
141a5885bb6d8df56dadbd617b5dec7db102701d,train,Who is Tina?,Mookie's girlfriend. ,Mookie's girlfriend,Who is Tina ?,Mookie s girlfriend .,Mookie s girlfriend
145200abf14baeffa646797dfbfa58861cb4b079,test,Who is Alpha?,Alpha is a doberman and the leader of a pack of dogs.,a doberman,Who is Alpha ?,Alpha is a doberman and the leader of a pack of dogs .,a doberman
145200abf14baeffa646797dfbfa58861cb4b079,test,Who was Ellie to Carl?,his wife,Ellie is Carl's late wife.,Who was Ellie to Carl ?,his wife,Ellie is Carl s late wife .
145200abf14baeffa646797dfbfa58861cb4b079,test,Who is 9 year old Carl Fredricksen's hero?,"Charles Muntz, a famous explorer",Charles Muntz.,Who is 9 year old Carl Fredricksen s hero ?,"Charles Muntz , a famous explorer",Charles Muntz .
145200abf14baeffa646797dfbfa58861cb4b079,test,Who is Kevin?,"a colorful, flightless bird that Russell finds",A flightless bird. ,Who is Kevin ?,"a colorful , flightless bird that Russell finds",A flightless bird .
14ed79ad4d7dbda55c43a696dc1366a71605ac58,train,Who is Mattie Fae?,Violet's sister.,Violet's sister,Who is Mattie Fae ?,Violet s sister .,Violet s sister
14fc0de61e9e8044764da1fb9f647d8ceb60e561,test,Who is La Fleur to Yorick?,He is a servant who will join Yorick on his travels.,A servant,Who is La Fleur to Yorick ?,He is a servant who will join Yorick on his travels .,A servant
14fc0de61e9e8044764da1fb9f647d8ceb60e561,test,Who was England at war with?,France,France,Who was England at war with ?,France,France
150683ab8156bdc78ebd23a2ed7f7e265b780bd0,train,Who was Archibald Tuttle?,A suspected terrorist,a suspected terrorist and air conditioning specialist,Who was Archibald Tuttle ?,A suspected terrorist,a suspected terrorist and air conditioning specialist
1508452704b5829941b98aeee2eeba192f5beae5,train,Who is Marcella?,Marcella is Martin's secretary.,Martin Black's secretary. ,Who is Marcella ?,Marcella is Martin s secretary .,Martin Black s secretary .
1528f4c003dde308ae74bdec458466765944ca6a,test,Who was Margaret?,Paul's wife.,Paul's wife.,Who was Margaret ?,Paul s wife .,Paul s wife .
1528f4c003dde308ae74bdec458466765944ca6a,test,Who was Tiffany?,Ted Waters girlfriend.,Ted Waters' girlfriend,Who was Tiffany ?,Ted Waters girlfriend .,Ted Waters ' girlfriend
1528f4c003dde308ae74bdec458466765944ca6a,test,Who was Raymond?,Paul's brother,Paul's brother,Who was Raymond ?,Paul s brother,Paul s brother
15329a294f5c4e40208bc75102fbd312f58599cb,test,Who is Lucas?,"A police officer monitoring Walter, wanting to catch him reoffending to bust him back to prison.",police officer,Who is Lucas ?,"A police officer monitoring Walter , wanting to catch him reoffending to bust him back to prison .",police officer
15e5cdd93340ecf4ab97248e15f3870eb26bf10b,train,Who is David in relationship to Kirk?,His son.,David is Kirk's son.,Who is David in relationship to Kirk ?,His son .,David is Kirk s son .
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,WHO IS AMANDA TO BENHAM?,HIS WIFE,His wife.,WHO IS AMANDA TO BENHAM ?,HIS WIFE,His wife .
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,WHO IS PROTHERO TO BENHAM?,A CHILDHOOD SCHOOL FRIEND,His friend,WHO IS PROTHERO TO BENHAM ?,A CHILDHOOD SCHOOL FRIEND,His friend
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,Who was Amanda?,Benham's  wife,a young woman he loved passionately,Who was Amanda ?,Benham s wife,a young woman he loved passionately
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,Who was Prothero?,Benham's friend.,Benham's schoolboy friend,Who was Prothero ?,Benham s friend .,Benham s schoolboy friend
166e4604f74997601e16793ca5af0f54bc2cc81c,train,Who is Roger St Luke's girlfriend?,Nurse Forsythe,Nurse Forsythe,Who is Roger St Luke s girlfriend ?,Nurse Forsythe,Nurse Forsythe
167ec212289f7c34823629931c967090650c10dc,train,Who is behind the criminal operation?,Steven Reign,Steven Reign,Who is behind the criminal operation ?,Steven Reign,Steven Reign
1718768b5be4356b36704d5876db8009916ecd0c,test,Who was Esther Bloomenbergensteinenthal?,Mordechai's love interest.,Mordecai's love interest and daughter of the leader of the Jewish Justice League,Who was Esther Bloomenbergensteinenthal ?,Mordechai s love interest .,Mordecai s love interest and daughter of the leader of the Jewish Justice League
17272570cdcbfce7fda86ae35332b1fcae569c30,train,Who was Howard Doyle?,he was an actor from one of donalys opera soaps.,an actor,Who was Howard Doyle ?,he was an actor from one of donalys opera soaps .,an actor
1773a177343713782c2437b460f5399aae80e18c,train,Who is Maggie to Adam?,Adam's daughter,His daughter,Who is Maggie to Adam ?,Adam s daughter,His daughter
17f2e2685467b6eebf01d2a643e31f53ea215e91,test,Who is Florentina?,Pablo's beautiful cousin whom he's supposed to marry.,Pablo's cousin.,Who is Florentina ?,Pablo s beautiful cousin whom he s supposed to marry .,Pablo s cousin .
1853a60c054cce3f34f9969c558141580b925085,train,WHO IS LITTLE CHRIS TO BIG CHRIS?,HIS SON,son,WHO IS LITTLE CHRIS TO BIG CHRIS ?,HIS SON,son
18a67c48f4afdee5d95afd681e6e1787471b5f30,test,Who was Conan's predecessor as king?,Numedides.,Numedides,Who was Conan s predecessor as king ?,Numedides .,Numedides
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was Lambert Strether fiancee?,Mrs Newsome,Marie de Vionnet,Who was Lambert Strether fiancee ?,Mrs Newsome,Marie de Vionnet
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was  Little Bilham?,Chad's friend,A friend of Chads.,Who was Little Bilham ?,Chad s friend,A friend of Chads .
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was Sarah Pocock?,Chad sisiter,Chad's sister,Who was Sarah Pocock ?,Chad sisiter,Chad s sister
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was Marie de Vionnnet?,Jeanne's mother., lovely woman of impeccable manners,Who was Marie de Vionnnet ?,Jeanne s mother .,lovely woman of impeccable manners
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was in the Inn with Chad?,Marie,Marie,Who was in the Inn with Chad ?,Marie,Marie
194fd3c13f34b5a640280e7f43e59dbed66c215c,test,Who is Odin?,Odin is the king of Asgard. ,King of Asgard,Who is Odin ?,Odin is the king of Asgard .,King of Asgard
194fd3c13f34b5a640280e7f43e59dbed66c215c,test,Who is Loki to Laufey?,Son,His son,Who is Loki to Laufey ?,Son,His son
1a26b476901a0785835b0ebeecaae3a212b026ef,train,Who is Lucius?,Lucius is the son of Joseph Mason and his second wife.,Son of Lady Mason,Who is Lucius ?,Lucius is the son of Joseph Mason and his second wife .,Son of Lady Mason
1aae28477e771b3af008ec59ce29086a1bc66776,test,Who is Lily to Leo?,Lily is Leo's sister,his sister,Who is Lily to Leo ?,Lily is Leo s sister,his sister
1b0fb60ae65cb97ab4278e4296de48583fdaa269,train,Who is Holdebrooke?,His real name is Palmer and he was responsible for stashing the stolen money.,Palmer,Who is Holdebrooke ?,His real name is Palmer and he was responsible for stashing the stolen money .,Palmer
1b458192e39bd7fdf10e69d6b975844a211e72a9,train,Who was Jerry's brother?,Michael,michael,Who was Jerry s brother ?,Michael,michael
1b458192e39bd7fdf10e69d6b975844a211e72a9,train,Who was Jerry's brother?,Michael,michael,Who was Jerry s brother ?,Michael,michael
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a,train,Who was Bella Swan boyfriend?,Edward Cullen,Edward,Who was Bella Swan boyfriend ?,Edward Cullen,Edward
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a,train,Who was Jasper?,Edward brother,Edward's brother,Who was Jasper ?,Edward brother,Edward s brother
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a,train,Who was Alice?,Edward sister,Edward's sister,Who was Alice ?,Edward sister,Edward s sister
1cb9eac7e7352cd7cac800000c09c244ae2ce13f,train,Who is Virgil Samms?,"He is the first Lensmen, a man of bravery and very incorruptible.",the founder of the galactic Patrol,Who is Virgil Samms ?,"He is the first Lensmen , a man of bravery and very incorruptible .",the founder of the galactic Patrol
1d6b5926027e0ce1ae376bbd4798fa6a93c7a548,train,Who is Henry's wife?,Debbie,debbie,Who is Henry s wife ?,Debbie,debbie
1da161b6007d46d85eda16ae391e1e78218fabd2,test,Who is Bruce's employer?,Eyewitness News WKBW-TV,WKBW-TV,Who is Bruce s employer ?,Eyewitness News WKBW-TV,WKBW-TV
1dcd41b8faacf141817133954ff78291593520b5,train,Who is Lady Lundies brother-in-law?,Sir Patrick Lundie,Sir Patrick Lundie,Who is Lady Lundies brother-in-law ?,Sir Patrick Lundie,Sir Patrick Lundie
1e44e31fb8bb26dc8aae3ca3cd7131acb59a447f,train,Who was Margaret Brandt?,Gerard's  husband.,Margaret Roger,Who was Margaret Brandt ?,Gerard s husband .,Margaret Roger
1f3c4d904224764b1305205dfa99eae47c63240b,train,Who is Ignosi king of?,King of the Kukuanas.,Kukuanas,Who is Ignosi king of ?,King of the Kukuanas .,Kukuanas
1f8e03c7b6a6864108933fba1906455f78e4cfa6,train,Who is Hellboy?,An infant demon with a right hand made of stone.,An infant demon. ,Who is Hellboy ?,An infant demon with a right hand made of stone .,An infant demon .
20f1cc76a6b149b417e0d9943c7f2caac3a04875,train,Who is John Cedar?,The late Martin Semple's attorney.,Martin Semple's attorney.,Who is John Cedar ?,The late Martin Semple s attorney .,Martin Semple s attorney .
2114ee4681976de8a9d75d0e411ccc47bfa1caa3,train,WHO IS RONNIE TO KALE?,HIS BEST FRIEND.,Best friend,WHO IS RONNIE TO KALE ?,HIS BEST FRIEND .,Best friend
2114ee4681976de8a9d75d0e411ccc47bfa1caa3,train,WHO IS KALE TO JULIE?,HER SON,Son,WHO IS KALE TO JULIE ?,HER SON,Son
2132babdf6d70933760a9d8e9c6ac5c3305ed253,valid,Who is Carl Hughes?,Chris Hughes' adoptive father. ,He's Chris' dad.,Who is Carl Hughes ?,Chris Hughes ' adoptive father .,He s Chris ' dad .
214cb5277750c1ccddec0b10fa545c3c78c45f64,test,Who is Maleficent's daughter?,Mal,Mal,Who is Maleficent s daughter ?,Mal,Mal
