document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized,question_span_grounded,question_linenum,answer_span_grounded,answer_linenum
04ef491311759e1e853f9c7fc7e8c946c6eab31b,test,Who is Jake?,Bianca and Bernard's guide and protector,a hopping mouse who works for RAS,Who is Jake ?,Bianca and Bernard s guide and protector,a hopping mouse who works for RAS,Jake,866,guide,1088
050f88f6c8fed44ecbd7658b0f450fb705ce368d,train,Who is Li Mu Bai?,A Wudang swordsman.,An accomplished Wudang swordsman.,Who is Li Mu Bai ?,A Wudang swordsman .,An accomplished Wudang swordsman .,Li Mu Bai,493,swordsman,1695
050f88f6c8fed44ecbd7658b0f450fb705ce368d,train,Who is Lo to Jen?,He is a bandit who loves her.,Her love.,Who is Lo to Jen ?,He is a bandit who loves her .,Her love .,JEN,534,bandit,2338
08373775c3d82d8bbf4ff286a3a0076a3627c652,valid,Who is Percy a nephew of?,Louisiana's First Lady.,Louisiana's First Lady.,Who is Percy a nephew of ?,Louisiana s First Lady .,Louisiana s First Lady .,nephew,1316,she,1331
084e3e9625f032d6fc7454e94841a6045a0454e8,train,Who is Imar's twin-sister?,Marva,Marva.,Who is Imar s twin-sister ?,Marva,Marva .,Imar,7254,Marva,7381
084e3e9625f032d6fc7454e94841a6045a0454e8,train,Who is Marva?,Queen of Ossets,Queen of the Ossets.,Who is Marva ?,Queen of Ossets,Queen of the Ossets .,Marva,8459,Ossets,4943
08c3429e9717bc663bc5f41cd3a2c701c222ed2f,test,Who was Lucinda?,Lucinda was a doll,a doll,Who was Lucinda ?,Lucinda was a doll,a doll,Lucinda,96,doll,92
08c3429e9717bc663bc5f41cd3a2c701c222ed2f,test,Who was Jane? ,Lucinda cook,A DOLL THAT IS SUPPOSE TO BE THE COOK DOLL,Who was Jane ?,Lucinda cook,A DOLL THAT IS SUPPOSE TO BE THE COOK DOLL,Jane,99,Cook,99
09333c7d604bd412e6aef5d3e56b046ed301c5e5,test,Who is Morton?,He is an inspector,He is a police inspector called in to arrest Smith,Who is Morton ?,He is an inspector,He is a police inspector called in to arrest Smith,Morton,367,Inspector,699
0a133d2f741f023f11260893729c5dc63f9ef89a,train,Who is Newt?,The only known survivor of the colony.,A liitle girl.,Who is Newt ?,The only known survivor of the colony .,A liitle girl .,NEWT,953,survivor,274
0ac0e7c55534399855675cf41872ae6c5a8a32dd,valid,Who is Tito Melema?,A shipwrecked stranger and a young Italianate-Greek scholar.,An Italianate-Greek scholar ,Who is Tito Melema ?,A shipwrecked stranger and a young Italianate-Greek scholar .,An Italianate-Greek scholar,Tito Melema,1642,scholar,20946
0ac0e7c55534399855675cf41872ae6c5a8a32dd,valid,Who is Baldassarre?,Tito's adoptive father.,Tito's adopted father,Who is Baldassarre ?,Tito s adoptive father .,Tito s adopted father,Baldassarre,21546,father,2415
0b5d946ecfbdeb6629ae3f8cd42f4c499892e4ce,train,Who is Theodore de Summervieux?,An artist.,An artist ,Who is Theodore de Summervieux ?,An artist .,An artist,Theodore,719,artist,110
0b5d946ecfbdeb6629ae3f8cd42f4c499892e4ce,train,Who is Madame Rogiun?,Augustine's younger cousin. ,Madame Guillaume's younger cousin.,Who is Madame Rogiun ?,Augustine s younger cousin .,Madame Guillaume s younger cousin .,Madame,332,cousin,1127
0bae1f959cf453f77d465ab3d7de58735c3cea38,train,Who is Duke Mitchell in relation to Maverick?,His father.,His father,Who is Duke Mitchell in relation to Maverick ?,His father .,His father,MITCHELL,312,father,5518
0bb7c49bd644d0a4c0ea9fd6239e84c07013a811,train,Who is a civil war veteran?,Lighnin' Bill is a civil war veteran.,Lightnin' Bill Jones,Who is a civil war veteran ?,Lighnin ' Bill is a civil war veteran .,Lightnin ' Bill Jones,veteran,3657,Bill Jones,4530
0bc7352d6a0e678c0d8acc57c0c1cc3466fe9ef7,train,Who is Keisha?,Lucky's daughter,Lucky's daughter,Who is Keisha ?,Lucky s daughter,Lucky s daughter,Keisha,702,daughter,739
0bd270c8c46f84a4abd99d65e2f17a9e11a7f76d,test,Who was Tony Clifton?,Andy Kaufman in disguise.,a villain character that was created by Haufman,Who was Tony Clifton ?,Andy Kaufman in disguise .,a villain character that was created by Haufman,Tony Clifton,945,Kaufman,7297
0bec3c185ffe7f716108fce8bd4a1558d4cd4a54,train,Who is Billy's sisters boyfriend?,Andy,Andy,Who is Billy s sisters boyfriend ?,Andy,Andy,boyfriend,3815,Andy,5008
0c1274df8299049d4959ef8a1ea23a6a68e26f6e,test,Who is Holly?,Stanley Jobsonâs daughter,Stanley and Melissa's daughter.,Who is Holly ?,Stanley Jobsonâs daughter,Stanley and Melissa s daughter .,Holly,1223,daughter,1246
0cd690f600881ef37a4e36ca79e378c733636c30,test,Who is Zuleika's grandfather?,The Warden of Judas College,The Warden of Judas College.,Who is Zuleika s grandfather ?,The Warden of Judas College,The Warden of Judas College .,Zuleika,113,Warden,8402
0d0bc01441afbec48663e3b38827e1529a287765,test,Who is Helen Chester?,The niece of Judge Arthur Chester.,Judges Arthur Chester's neice,Who is Helen Chester ?,The niece of Judge Arthur Chester .,Judges Arthur Chester s neice,Helen Chester,1032,niece,1602
0d0bc01441afbec48663e3b38827e1529a287765,test,Who is Alexander McNamara?,A politician seeking control in the Alaskan Territory.,A politician,Who is Alexander McNamara ?,A politician seeking control in the Alaskan Territory .,A politician,McNamara,216,politician,1722
0d6f958d03124c4176549fce64ed4e7849e351f9,train,Who is Augusta?,Augusta is Emmeline's friend and Delemare's sister,Delamere's sister.,Who is Augusta ?,Augusta is Emmeline s friend and Delemare s sister,Delamere s sister .,Augusta,2697,sister,1893
0d6f958d03124c4176549fce64ed4e7849e351f9,train,Who is Godolphin's sister? ,Adelina,Adelina,Who is Godolphin s sister ?,Adelina,Adelina,Godolphin,9896,Adelina,23154
0e386fb9ead81ac7dbda4798564ab2f7968234c8,train,Who is George to Rabina?,Her husband.,One is son and the other is husband.,Who is George to Rabina ?,Her husband .,One is son and the other is husband .,George,285,husband,6551
0ecd1d809dabb7dab891d9c8a9e19a5f76397d2d,valid,Who is Esther?,A 9 year old girl whom Kate and John adopt.,"Leena Klammer , a mentally ill 33 year old woman with hypopituitarism. ",Who is Esther ?,A 9 year old girl whom Kate and John adopt .,"Leena Klammer , a mentally ill 33 year old woman with hypopituitarism .",KATE,225,girl,6720
0f849890e27fd05b9a8683d111f489515db72ea4,train,Who is Agave and Cadmus' son?,Pentheus,Pentheus,Who is Agave and Cadmus ' son ?,Pentheus,Pentheus,son,225,Pentheus,506
0ffdd0e4abb67f0012a68d719a2d509ee8ec643d,train,Who is Nate?,McCauley's fence.,McCauley's fence,Who is Nate ?,McCauley s fence .,McCauley s fence,NATE,1060,fence,1066
0ffdd0e4abb67f0012a68d719a2d509ee8ec643d,train,Who is Lauren?,Hanna's stepdaughter.,Hanna's step daughter,Who is Lauren ?,Hanna s stepdaughter .,Hanna s step daughter,LAUREN,430,stepdaughter,5229
105672e2bb1bcc9dd50e90822ca49a66876ac198,train,Who is Trampas to the Virginian?,He is a gambler that the Virginian faced down. ,An enemy,Who is Trampas to the Virginian ?,He is a gambler that the Virginian faced down .,An enemy,Trampas,3223,gambler,7813
105672e2bb1bcc9dd50e90822ca49a66876ac198,train,Who is Trampas?,The Virginian's enemy.,a gambler who is enemies with the Virginian,Who is Trampas ?,The Virginian s enemy .,a gambler who is enemies with the Virginian,Trampas,967,gambler,7813
10910853a653d0e6ef540a1a3cc63ef2746a798c,train,Who is Danny Parker?,The alias of the protagonist,an addict and police informant,Who is Danny Parker ?,The alias of the protagonist,an addict and police informant,Danny,218,addict,4324
10c992498cf8bea350d6209b4b8f1d0437440694,train,Who is Edward de Vere's wife? ,Anne Cecil,Anne Cecil,Who is Edward de Vere s wife ?,Anne Cecil,Anne Cecil,Edward,585,wife,7925
11c498b404bec5dee6cbf41e54a8b682851fb934,valid,Who is  Slasher?,Slasher is a feral dog that joins Balthus and Conan.,a feral dog,Who is Slasher ?,Slasher is a feral dog that joins Balthus and Conan .,a feral dog,Slasher,1810,dog,1199
1225b1acc92c2554e91c09639f86c1d75f8e9161,train,Who is Isabel's brother?,Pierre,Pierre,Who is Isabel s brother ?,Pierre,Pierre,brother,632,Pierre,7673
1343fe0f3a4293a8d5a214cd30e857f9abe77ebb,train,Who is Ku-Klip?,The tinsmith.,He is the tinsmith.,Who is Ku-Klip ?,The tinsmith .,He is the tinsmith .,Ku-Klip,3573,tinsmith,3573
141a5885bb6d8df56dadbd617b5dec7db102701d,train,Who was Pino?,Sal's  elder son,Sal's son ,Who was Pino ?,Sal s elder son,Sal s son,PINO,390,son,591
145200abf14baeffa646797dfbfa58861cb4b079,test,Who is Alpha?,Alpha is a doberman and the leader of a pack of dogs.,a doberman,Who is Alpha ?,Alpha is a doberman and the leader of a pack of dogs .,a doberman,Alpha,3946,Doberman,3947
145200abf14baeffa646797dfbfa58861cb4b079,test,Who was Ellie to Carl?,his wife,Ellie is Carl's late wife.,Who was Ellie to Carl ?,his wife,Ellie is Carl s late wife .,ELLIE,534,wife,5021
145200abf14baeffa646797dfbfa58861cb4b079,test,Who is 9 year old Carl Fredricksen's hero?,"Charles Muntz, a famous explorer",Charles Muntz.,Who is 9 year old Carl Fredricksen s hero ?,"Charles Muntz , a famous explorer",Charles Muntz .,hero,5903,Muntz,4982
145200abf14baeffa646797dfbfa58861cb4b079,test,Who is Kevin?,"a colorful, flightless bird that Russell finds",A flightless bird. ,Who is Kevin ?,"a colorful , flightless bird that Russell finds",A flightless bird .,Kevin,3456,BIRD,3348
14ed79ad4d7dbda55c43a696dc1366a71605ac58,train,Who is Mattie Fae?,Violet's sister.,Violet's sister,Who is Mattie Fae ?,Violet s sister .,Violet s sister,Mattie,926,sister,954
14fc0de61e9e8044764da1fb9f647d8ceb60e561,test,Who is La Fleur to Yorick?,He is a servant who will join Yorick on his travels.,A servant,Who is La Fleur to Yorick ?,He is a servant who will join Yorick on his travels .,A servant,Fleur,1042,servant,1557
1528f4c003dde308ae74bdec458466765944ca6a,test,Who was Margaret?,Paul's wife.,Paul's wife.,Who was Margaret ?,Paul s wife .,Paul s wife .,Margaret,801,wife,881
1528f4c003dde308ae74bdec458466765944ca6a,test,Who was Tiffany?,Ted Waters girlfriend.,Ted Waters' girlfriend,Who was Tiffany ?,Ted Waters girlfriend .,Ted Waters ' girlfriend,Tiffany,661,girlfriend,2398
1528f4c003dde308ae74bdec458466765944ca6a,test,Who was Raymond?,Paul's brother,Paul's brother,Who was Raymond ?,Paul s brother,Paul s brother,Raymond,450,brother,479
15329a294f5c4e40208bc75102fbd312f58599cb,test,Who is Lucas?,"A police officer monitoring Walter, wanting to catch him reoffending to bust him back to prison.",police officer,Who is Lucas ?,"A police officer monitoring Walter , wanting to catch him reoffending to bust him back to prison .",police officer,LUCAS,357,officer,355
15e5cdd93340ecf4ab97248e15f3870eb26bf10b,train,Who is David in relationship to Kirk?,His son.,David is Kirk's son.,Who is David in relationship to Kirk ?,His son .,David is Kirk s son .,DAVID,786,son,6164
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,WHO IS AMANDA TO BENHAM?,HIS WIFE,His wife.,WHO IS AMANDA TO BENHAM ?,HIS WIFE,His wife .,Amanda,4902,wife,10439
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,WHO IS PROTHERO TO BENHAM?,A CHILDHOOD SCHOOL FRIEND,His friend,WHO IS PROTHERO TO BENHAM ?,A CHILDHOOD SCHOOL FRIEND,His friend,Prothero,297,friend,3061
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,Who was Amanda?,Benham's  wife,a young woman he loved passionately,Who was Amanda ?,Benham s wife,a young woman he loved passionately,Benham,532,wife,1522
16380f54b88ffa64ca4cd82d3dc5481e78ad5118,test,Who was Prothero?,Benham's friend.,Benham's schoolboy friend,Who was Prothero ?,Benham s friend .,Benham s schoolboy friend,Prothero,302,friend,503
1773a177343713782c2437b460f5399aae80e18c,train,Who is Maggie to Adam?,Adam's daughter,His daughter,Who is Maggie to Adam ?,Adam s daughter,His daughter,Maggie,175,daughter,20279
17f2e2685467b6eebf01d2a643e31f53ea215e91,test,Who is Florentina?,Pablo's beautiful cousin whom he's supposed to marry.,Pablo's cousin.,Who is Florentina ?,Pablo s beautiful cousin whom he s supposed to marry .,Pablo s cousin .,Florentina,3259,cousin,4134
1853a60c054cce3f34f9969c558141580b925085,train,WHO IS LITTLE CHRIS TO BIG CHRIS?,HIS SON,son,WHO IS LITTLE CHRIS TO BIG CHRIS ?,HIS SON,son,Little Chris,716,son,4405
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was  Little Bilham?,Chad's friend,A friend of Chads.,Who was Little Bilham ?,Chad s friend,A friend of Chads .,little Bilham,77,friend,4691
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was Sarah Pocock?,Chad sisiter,Chad's sister,Who was Sarah Pocock ?,Chad sisiter,Chad s sister,Sarah Pocock,9601,sister,16753
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d,train,Who was Marie de Vionnnet?,Jeanne's mother., lovely woman of impeccable manners,Who was Marie de Vionnnet ?,Jeanne s mother .,lovely woman of impeccable manners,Marie de Vionnet,6682,mother,6442
194fd3c13f34b5a640280e7f43e59dbed66c215c,test,Who is Loki to Laufey?,Son,His son,Who is Loki to Laufey ?,Son,His son,Loki,721,son,6407
1b458192e39bd7fdf10e69d6b975844a211e72a9,train,Who was Jerry's brother?,Michael,michael,Who was Jerry s brother ?,Michael,michael,brother,193,Michael,7159
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a,train,Who was Bella Swan boyfriend?,Edward Cullen,Edward,Who was Bella Swan boyfriend ?,Edward Cullen,Edward,boyfriend,1213,Edward,6782
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a,train,Who was Jasper?,Edward brother,Edward's brother,Who was Jasper ?,Edward brother,Edward s brother,JASPER,631,brother,4022
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a,train,Who was Alice?,Edward sister,Edward's sister,Who was Alice ?,Edward sister,Edward s sister,Alice,959,sister,957
1d6b5926027e0ce1ae376bbd4798fa6a93c7a548,train,Who is Henry's wife?,Debbie,debbie,Who is Henry s wife ?,Debbie,debbie,wife,272,DEBBIE,272
1dcd41b8faacf141817133954ff78291593520b5,train,Who is Lady Lundies brother-in-law?,Sir Patrick Lundie,Sir Patrick Lundie,Who is Lady Lundies brother-in-law ?,Sir Patrick Lundie,Sir Patrick Lundie,brother-in-law,1998,Sir Patrick Lundie,1778
1e44e31fb8bb26dc8aae3ca3cd7131acb59a447f,train,Who was Margaret Brandt?,Gerard's  husband.,Margaret Roger,Who was Margaret Brandt ?,Gerard s husband .,Margaret Roger,Margaret Brandt,2168,husband,30652
1f3c4d904224764b1305205dfa99eae47c63240b,train,Who is Ignosi king of?,King of the Kukuanas.,Kukuanas,Who is Ignosi king of ?,King of the Kukuanas .,Kukuanas,Ignosi,3356,king of the Kukuanas,7354
1f8e03c7b6a6864108933fba1906455f78e4cfa6,train,Who is Hellboy?,An infant demon with a right hand made of stone.,An infant demon. ,Who is Hellboy ?,An infant demon with a right hand made of stone .,An infant demon .,Hellboy,1468,Demon,3003
20f1cc76a6b149b417e0d9943c7f2caac3a04875,train,Who is John Cedar?,The late Martin Semple's attorney.,Martin Semple's attorney.,Who is John Cedar ?,The late Martin Semple s attorney .,Martin Semple s attorney .,Cedar,311,attorney,9697
2114ee4681976de8a9d75d0e411ccc47bfa1caa3,train,WHO IS RONNIE TO KALE?,HIS BEST FRIEND.,Best friend,WHO IS RONNIE TO KALE ?,HIS BEST FRIEND .,Best friend,Ronnie,1623,friend,6886
2132babdf6d70933760a9d8e9c6ac5c3305ed253,valid,Who is Carl Hughes?,Chris Hughes' adoptive father. ,He's Chris' dad.,Who is Carl Hughes ?,Chris Hughes ' adoptive father .,He s Chris ' dad .,Charlie,446,son,448
214cb5277750c1ccddec0b10fa545c3c78c45f64,test,Who is Maleficent's daughter?,Mal,Mal,Who is Maleficent s daughter ?,Mal,Mal,daughter,830,Scottie,841
216a7a5535571aae2842944a3529fae1f664cb0f,train,Who is Marie's fiance?,Victor de Gisons,Victor de Gisons,Who is Marie s fiance ?,Victor de Gisons,Victor de Gisons,Marie,6152,Victor de Gisons,6769
229bcf6a72dbf68b2b074ab4266fa677da43f68d,train,Who is Eyolf?,Eyolf was the son of Alfred ans Rita,son of Alfred & Rita,Who is Eyolf ?,Eyolf was the son of Alfred ans Rita,son of Alfred & Rita,Eyolf,60,son,65
229bcf6a72dbf68b2b074ab4266fa677da43f68d,train,Who is  Astar?,Alfred's sister,Alfred's sister,Who is Astar ?,Alfred s sister,Alfred s sister,ASTA,322,sister,1891
22d1af3e29dc599ec0634fe860359027adea6944,test,Who is Grayes' brother?,Edward,the local rector,Who is Grayes ' brother ?,Edward,the local rector,brother,752,Edward,16885
22d80f4823a64ed818417fcf2d172222f0f18bbf,train,Who is Darryl? ,Darryl is Marcus' best friend,Marcus's best friend,Who is Darryl ?,Darryl is Marcus ' best friend,Marcus s best friend,Darryl,676,friend,13224
23fa36d9def95414a50968d216460d52f3dd3653,train,Who is Ventidius?,A Roman General,A Roman general,Who is Ventidius ?,A Roman General,A Roman general,VENTIDIUS,893,general,2222
254ce2e2522625e70a10c88ef265769083049b46,train,Who was Botton Bright? ,A cute and weatlhly little boy.,a little boy,Who was Botton Bright ?,A cute and weatlhly little boy .,a little boy,Bright,114,boy,563
254ce2e2522625e70a10c88ef265769083049b46,train,Who was Polychrome?,Polychrome was the daughter of Rainbow,the daughter of a rainbow,Who was Polychrome ?,Polychrome was the daughter of Rainbow,the daughter of a rainbow,Polychrome,113,Daughter,113
25643d5e536303284b5c4148ab4243671580adeb,train,Who is Remmo Gaggi?,The Chicago mafia boss.,A Mafia boss.,Who is Remmo Gaggi ?,The Chicago mafia boss .,A Mafia boss .,REMO GAGGI,5886,boss,5887
266f5b2295980ad31b5090a6c51b69055c87b3a7,train,Who is Elle's boyfriend?,Warner Huntington III,Warner,Who is Elle s boyfriend ?,Warner Huntington III,Warner,boyfriend,3112,Warner Huntington III,619
269ffd1de413e4556ac009ffabd821a869fdf75d,train,Who is Clotilde?,Pascal's niece,Pascal's niece,Who is Clotilde ?,Pascal s niece,Pascal s niece,Clotilde,91,niece,5053
269ffd1de413e4556ac009ffabd821a869fdf75d,train,Who is Tante Dide?,Pascal's grandmother,Pascal's grandmother,Who is Tante Dide ?,Pascal s grandmother,Pascal s grandmother,Aunt Dide,2072,grandmother,2491
269ffd1de413e4556ac009ffabd821a869fdf75d,train,Who is Antoine Macquart?,Pascal's alcoholic uncle,Felicite's brother-in-law. ,Who is Antoine Macquart ?,Pascal s alcoholic uncle,Felicite s brother-in-law .,Antoine Macquart,3873,Uncle,9231
27118c9662889769c25d52ff3b870b596d743518,valid,Who is Pandarus?,Criseyde's uncle.,Criseyde's uncle,Who is Pandarus ?,Criseyde s uncle .,Criseyde s uncle,Pandarus,756,uncle,6495
276006bb1b1bd92dca33b940d92fdb97b818f906,test,Who is Laura Newton?,The President's daughter.,The president's daughter.,Who is Laura Newton ?,The President s daughter .,The president s daughter .,Laura Newton,1291,daughter,4363
295d5533ffd87d5ff68f51902e13559bac902085,train,Who is Jeffrey Aspern?,A dead American poet who has become famous,A famous and now dead American poet,Who is Jeffrey Aspern ?,A dead American poet who has become famous,A famous and now dead American poet,Jeffrey Aspern,109,poet,2820
295d5533ffd87d5ff68f51902e13559bac902085,train,Who is Jeffrey Aspern?,a famous dead American poet,A dead American poet. ,Who is Jeffrey Aspern ?,a famous dead American poet,A dead American poet .,Jeffrey Aspern,96,poet,1627
2a74184610bf91866dbdf37cba0b874dfc748a86,valid,Who is Cratylus?,He is a disciple of Heraclitus.,A disciple of Heraclitus.,Who is Cratylus ?,He is a disciple of Heraclitus .,A disciple of Heraclitus .,Cratylus,103,follower,157
2b5468141ef0e57d4635249e7d9d9ff6039d18f4,train,Who is Jasper Leigh?,The person employed by Lionel to kidnap his brother Oliver. ,The man who kidnapped Oliver,Who is Jasper Leigh ?,The person employed by Lionel to kidnap his brother Oliver .,The man who kidnapped Oliver,Jasper Leigh,2382,man,13735
2b5d19eb7767f089cf6b5cee04106b964962eb00,train,Who is Tugg's agent?,Rick Peck,rick peck,Who is Tugg s agent ?,Rick Peck,rick peck,agent,2344,Rick Peck,2345
2c882e70f540d28c884fcedd83fc2c893c6dcbdf,train,Who is Jennie's daughter?,Vesta.,Vesta,Who is Jennie s daughter ?,Vesta .,Vesta,daughter,7440,Jennie,7928
2c882e70f540d28c884fcedd83fc2c893c6dcbdf,train,Who is Vesta?,Jennies daughter,Jennies daughter,Who is Vesta ?,Jennies daughter,Jennies daughter,Vesta,4529,daughter,641
2c882e70f540d28c884fcedd83fc2c893c6dcbdf,train,Who is Letty?,A rich widow who marries Lester,An affluent widow who marries Kane.,Who is Letty ?,A rich widow who marries Lester,An affluent widow who marries Kane .,Letty,5644,widow,7278
2caed8cd33002af756cef1c108986384a0b7066b,train,Who was Harold Lee?,He is an investment banker.,An investment banker.,Who was Harold Lee ?,He is an investment banker .,An investment banker .,HAROLD,300,banker,1997
2caed8cd33002af756cef1c108986384a0b7066b,train,Who was Maria?,Harold's neighbor.,Harold's neighbor,Who was Maria ?,Harold s neighbor .,Harold s neighbor,MARIA,620,woman,620
2cf851eeec79ada442b42d8d17d99cf24dbbb157,train,Who is Littlewit's Mother-in-Law? ,Dame Purecraft,Dame Purecraft,Who is Littlewit s Mother-in-Law ?,Dame Purecraft,Dame Purecraft,mother,355,DAME PURECRAFT,2141
2cf851eeec79ada442b42d8d17d99cf24dbbb157,train,Who is Dame Purecraft to Littlewit?,His mother-in-law.,Mother in Law.,Who is Dame Purecraft to Littlewit ?,His mother-in-law .,Mother in Law .,DAME PURECRAFT,981,mother,360
2f413edcd92b785fe7bf948138fde95c1a1d2b9c,test,Who is Vanessa?,Fait's daughter and Ling's girlfriend,Fait's daughter,Who is Vanessa ?,Fait s daughter and Ling s girlfriend,Fait s daughter,VANESSA,1027,daughter,1641
2fc2cfddbe1ca72a7c2ae750a6c8b656dad60f9b,test,Who is Saul's supplier?,Red,Red,Who is Saul s supplier ?,Red,Red,supplier,1255,Red,963
301cb14d65a257ef05cf122e2c0635b531d6e33c,train,Who is Lina?,Lina is the creature who accompanies Curdie on his way to Gwynystrom.,Curdie's beast companion,Who is Lina ?,Lina is the creature who accompanies Curdie on his way to Gwynystrom .,Curdie s beast companion,Lina,1903,creature,2244
311862def6b1e7d1cdf16a9b797f554e1dce866f,train,Who is Tommy's childhood sweetheart?,Nan,Nan,Who is Tommy s childhood sweetheart ?,Nan,Nan,sweetheart,212,Nan,10236
311862def6b1e7d1cdf16a9b797f554e1dce866f,train,Who is Tommy's childhood freind?,Nan,Nan,Who is Tommy s childhood freind ?,Nan,Nan,friend,217,Nan,196
311862def6b1e7d1cdf16a9b797f554e1dce866f,train,Who is bhaer's nephew?,Emil,Emil,Who is bhaer s nephew ?,Emil,Emil,Bhaer,116,nephew,8410
317fe46b2903da739b059733cd618db6ca49a494,train,Who is Jeff Lebowski?,Jeff Lebowski is also known as The Dude.,a slacker,Who is Jeff Lebowski ?,Jeff Lebowski is also known as The Dude .,a slacker,Lebowski,213,Dude,6547
31c7eca71291b68f55dec4af7e61b6bcae8c5a8a,valid,Who is Pelagia?,Phiammon's long lost sister. ,Philammon's sister,Who is Pelagia ?,Phiammon s long lost sister .,Philammon s sister,Pelagia,991,sister,17415
31c7eca71291b68f55dec4af7e61b6bcae8c5a8a,valid,Who is Philammon's sister?,Pelagia.,Peligia,Who is Philammon s sister ?,Pelagia .,Peligia,sister,9058,Pelagia,1770
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is John Carter?,The warlord of Mars?,Warlord of Mars,Who is John Carter ?,The warlord of Mars ?,Warlord of Mars,John Carter,1187,Warlord of Mars,147
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is princess of Ptarth?,Thuvia,Thuvia,Who is princess of Ptarth ?,Thuvia,Thuvia,princess,75,Thuvia,70
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who is Austin to Maud?,Her father.,her father,Who is Austin to Maud ?,Her father .,her father,Austin,1961,father,292
34d16136feb3eba74060953631414400f9a3cb20,train,Who is Edward Scrope?,Lord Bishop of Princhester,Lord Bishop of Princhester.,Who is Edward Scrope ?,Lord Bishop of Princhester,Lord Bishop of Princhester .,Edward Scrope,3281,bishop,7113
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who is David's captive?,A reptilian Mahar,A Mahar,Who is David s captive ?,A reptilian Mahar,A Mahar,CAPTIVE,3343,Mahar,457
35891de62bab83d5b312ddeb835c7e0b245e3282,test,Who was Keaton's lawyer?,Edie Finneran,Edie Finneran,Who was Keaton s lawyer ?,Edie Finneran,Edie Finneran,lawyer,4362,Edie Finneran,665
361364f57460139410c4130a1e7a58caf152c2bd,train,Who is Flor Moreno to Christina Moreno?,Mother.,she is her mother,Who is Flor Moreno to Christina Moreno ?,Mother .,she is her mother,Flor Moreno,1232,mother,9583
3634471ed994ee7d4f382d8e7edbc56de5c28c42,train,Who is Dickie to Herbert Greenleaf?,his son,His son,Who is Dickie to Herbert Greenleaf ?,his son,His son,Dickie,274,son,387
